gamename,metacritic,reccount,IsFree,PCRECs,Price
The Wizards Pen(tm),0,0,False,True,4.99
Plants vs. Zombies GOTY Edition,87,6207,False,True,4.99
Escape Rosecliff Island,0,124,False,True,4.99
Mystery P.I. - Lost in Los Angeles,0,0,False,True,4.99
Zumas Revenge!,78,225,False,True,4.99
Sniper Elite,76,866,False,True,9.99
Judge Dredd: Dredd vs. Death,55,425,False,True,7.99
Evil Genius,75,1195,False,True,9.99
Aliens versus Predator Classic 2000,0,1084,False,True,4.99
Advent Rising,70,226,False,True,9.99
BloodRayne,65,307,False,True,9.99
BloodRayne 2,67,224,False,True,9.99
Psychonauts,87,5130,False,True,9.99
Sid Meiers Civilization(r) IV,94,887,False,True,19.99
Sid Meiers Civilization(r) III Complete,90,1328,False,True,4.99
Sid Meiers Pirates!,88,1641,False,True,9.99
Shattered Union,67,0,False,True,4.99
CivCity: Rome,67,143,False,True,9.99
Civilization IV(r): Warlords,84,0,False,True,4.99
Garrys Mod,0,237684,False,True,9.99
Poker Superstars II,0,0,False,True,9.99
RACE - The WTCC Game,0,126,False,True,39.99
RACE - The WTCC Game,0,126,False,True,39.99
RACE: Caterham Expansion,0,0,False,True,4.99
RoboBlitz,80,0,False,True,9.99
Silverfall,62,0,False,True,9.99
City Life 2008,0,0,False,True,9.99
Silverfall: Earth Awakening,0,0,False,True,9.99
S.T.A.L.K.E.R.: Shadow of Chernobyl,82,4657,False,True,19.99
Full Spectrum Warrior,80,104,False,True,9.99
Full Spectrum Warrior: Ten Hammers,70,0,False,True,9.99
Titan Quest,77,2218,False,True,0.0
Titan Quest - Immortal Throne,80,2216,False,True,0.0
Company of Heroes,93,3856,False,True,19.99
Warhammer(r) 40000: Dawn of War(r) - Game of the Year Edition,86,2212,False,True,12.99
Warhammer(r) 40000: Dawn of War(r) - Dark Crusade,87,1715,False,True,12.99
Medieval II: Total War(tm),88,5418,False,True,19.99
Condemned: Criminal Origins,78,891,False,True,14.95
Rome: Total War(tm) - Collection,92,5160,False,True,9.99
Rome: Total War(tm) - Alexander,79,266,False,True,4.99
Medieval II: Total War(tm) Kingdoms,85,549,False,True,11.99
Heroes of Annihilated Empires,65,153,False,True,14.99
Cossacks: Back to War,60,726,False,True,4.99
Cossacks: Art of War,74,0,False,True,4.99
Cossacks: European Wars,74,135,False,True,4.99
Cossacks II: Battle for Europe,69,223,False,True,4.99
Zen of Sudoku,0,0,False,True,4.99
Natural Selection 2,80,7873,False,True,9.99
Natural Selection 2,80,7873,False,True,9.99
STAR WARS(tm) Republic Commando(tm),78,3763,False,True,9.99
Indiana Jones(r) and the Fate of Atlantis(tm),0,373,False,True,5.99
STAR WARS(tm) Jedi Knight - Jedi Academy(tm),81,3535,False,True,9.99
STAR WARS(tm) Jedi Knight II - Jedi Outcast(tm),89,1433,False,True,9.99
The Dig(r),0,370,False,True,5.99
STAR WARS(tm) Battlefront(tm) II,78,16580,False,True,9.99
Thrillville(r): Off the Rails(tm),70,151,False,True,9.99
Armed and Dangerous(r),78,0,False,True,5.99
Shank,67,1232,False,True,9.99
Shank,67,1232,False,True,9.99
Ghost Master(r),81,846,False,True,4.99
Vegas: Make It Big(tm),0,0,False,True,4.99
FlatOut,72,1241,False,True,7.49
Making History: The Calm & the Storm,70,453,False,True,4.99
Ducati World Championship,35,161,False,True,4.99
Dreamfall: The Longest Journey,75,397,False,True,19.99
The Longest Journey,91,737,False,True,9.99
Bloodline Champions,79,1381,True,True,0.0
Joint Task Force,68,0,False,True,9.99
Nexus - The Jupiter Incident,77,333,False,True,9.99
Lost Planet(tm): Extreme Condition,66,499,False,True,14.99
Devil May Cry(r) 3 Special Edition,66,1401,False,True,19.99
Bullet Candy,0,0,False,True,3.99
Commandos: Behind Enemy Lines,0,854,False,True,3.99
Commandos: Beyond the Call of Duty,0,244,False,True,3.99
Commandos 2: Men of Courage,87,877,False,True,3.99
Commandos 3: Destination Berlin,72,415,False,True,3.99
Hitman 2: Silent Assassin,87,1144,False,True,6.99
Hitman: Blood Money,82,3895,False,True,8.99
Battlestations: Midway,76,214,False,False,6.99
Just Cause,75,1565,False,True,6.99
Hitman: Codename 47,73,1049,False,True,6.99
Deus Ex: Game of the Year Edition,90,3706,False,True,6.99
Deus Ex: Invisible War,80,679,False,True,6.99
Thief: Deadly Shadows,85,860,False,True,8.99
Tomb Raider: Legend,82,921,False,True,6.99
Project: Snowblind,76,110,False,True,5.99
Rogue Trooper,69,157,False,True,9.99
Jade Empire(tm): Special Edition,81,721,False,True,14.99
Trackmania United Forever Star Edition,80,633,False,True,29.99
Runaway A Road Adventure,74,212,False,True,9.99
Runaway The Dream of The Turtle,0,0,False,True,9.99
Loki,61,0,False,True,9.99
Azada,0,0,False,True,9.99
X-Blades,54,1846,False,True,9.99
Two Worlds II,76,3331,False,True,19.99
Two Worlds II Castle Defense,0,221,False,True,9.99
Sid Meiers Railroads!,77,1097,False,True,9.99
Railroad Tycoon 3,80,273,False,True,9.99
Railroad Tycoon II Platinum,89,296,False,True,4.99
X-COM: Terror From the Deep,0,272,False,True,4.99
X-COM: Apocalypse,0,296,False,True,4.99
BioShock(tm),96,16260,False,True,19.99
X-COM: Interceptor,0,0,False,True,4.99
X-COM: UFO Defense,0,1289,False,True,4.99
X-COM: Enforcer,65,201,False,True,4.99
Men of War(tm),80,1203,False,True,4.99
Death Track(r): Resurrection,53,0,False,True,2.99
NecroVision,63,506,False,True,4.99
Call of Duty(r) 4: Modern Warfare(r),92,5983,False,True,19.99
Cabelas(r) Big Game Hunter(tm) Trophy Bucks,0,0,False,True,19.99
Tomb Raider: Anniversary,83,1111,False,True,8.99
Kane and Lynch: Dead Men(tm),67,1136,False,True,6.99
Conflict: Denied Ops,58,0,False,True,5.99
Tomb Raider: Underworld,80,1079,False,True,8.99
Battlestations Pacific,74,897,False,True,8.99
Just Cause 2,84,27899,False,True,14.99
Sam & Max 101: Culture Shock,0,176,False,True,0.0
Sam & Max 102: Situation: Comedy,0,0,False,True,0.0
Sam & Max 103: The Mole the Mob and the Meatball,0,0,False,True,0.0
Sam & Max 104: Abe Lincoln Must Die!,0,253,False,True,0.0
Sam & Max 105: Reality 2.0,0,0,False,True,0.0
Sam & Max 106: Bright Side of the Moon,0,0,False,True,0.0
Sam & Max 201: Ice Station Santa,82,0,False,True,0.0
Sam & Max 202: Moai Better Blues,80,0,False,True,0.0
Sam & Max 203: Night of the Raving Dead,79,0,False,True,0.0
Sam & Max 204: Chariots of the Dogs,85,0,False,True,0.0
Sam & Max 205: What’s New Beelzebub?,0,0,False,True,0.0
Bone: Out From Boneville,68,0,True,True,9.99
Bone: The Great Cow Race,76,0,True,True,9.99
Telltale Texas Hold Em,0,0,False,True,2.99
Strong Bads Cool Game for Attractive People: Season 1,82,175,False,True,19.99
Strong Bads Cool Game for Attractive People: Episode 2,0,0,False,False,0.0
Strong Bads Cool Game for Attractive People: Episode 3,0,0,False,False,0.0
Strong Bads Cool Game for Attractive People: Episode 4,0,0,False,False,0.0
Strong Bads Cool Game for Attractive People: Episode 5,0,0,False,False,0.0
Geometry Wars: Retro Evolved,76,507,False,True,3.99
EVE Online,88,4269,False,True,19.99
RACE 07,83,1637,False,True,3.99
RACE On,0,0,False,True,7.99
GTR 2 FIA GT Racing Game,0,132,False,True,7.99
Civilization IV: Beyond the Sword,86,780,False,True,9.99
BioShock(r) 2,88,7624,False,True,19.99
BioShock Infinite,94,55512,False,True,29.99
Freedom Force,90,242,False,True,4.99
Freedom Force vs. the Third Reich,0,0,False,True,4.99
Sid Meiers Civilization(r) V,90,85750,False,True,29.99
Axel & Pixel,0,0,False,True,4.99
Borderlands,81,15545,False,True,19.99
Spear of Destiny,0,122,False,True,2.99
Return to Castle Wolfenstein,88,1533,False,True,4.99
QUAKE Mission Pack 2: Dissolution of Eternity,0,0,False,True,2.99
QUAKE Mission Pack 1: Scourge of Armagon,0,118,False,True,2.99
DOOM 3,87,1645,True,True,4.99
HeXen II,0,137,False,True,4.99
Master Levels for Doom II,0,181,True,True,14.99
Commander Keen,0,510,False,True,4.99
RAGE,79,8176,False,True,9.99
RAGE,79,8176,False,True,9.99
Warhammer(r) 40000: Dawn of War(r) - Winter Assault,0,377,False,True,12.99
Company of Heroes: Opposing Fronts,87,457,False,True,19.99
Supreme Commander,86,782,False,True,14.99
Supreme Commander: Forged Alliance,81,2834,False,True,14.99
Warhammer(r) 40000: Dawn of War(r) - Soulstorm,0,2696,False,True,12.99
Frontlines(tm): Fuel of War(tm),73,438,False,True,19.99
Saints Row 2,72,6867,False,True,9.99
Gish,80,219,False,True,9.99
Desperados 2: Coopers Revenge,66,0,False,True,9.99
Tycoon City: New York,67,0,False,True,9.99
Act of War: High Treason,74,0,False,True,2.99
Death to Spies,69,450,False,True,4.99
Codename: Panzers - Cold War,0,0,False,True,14.99
Ghostbusters: The Videogame,74,1518,False,True,9.99
Champions Online,72,2160,True,True,0.0
Star Trek Online,76,7304,True,True,0.0
Test Drive Unlimited 2,72,5972,False,True,19.99
Blade Kitten,52,670,False,True,2.99
Haunted House(tm),0,0,False,True,5.99
Star Raiders,0,0,False,True,9.99
The UnderGarden,67,0,False,True,6.99
Ghostbusters: Sanctum of Slime,43,105,False,True,9.99
Call of Duty: World at War,83,13072,False,True,19.99
Kings Quest(tm) Collection,0,0,False,True,19.99
Space Quest(tm) Collection,0,103,False,True,19.99
Aces of the Galaxy(tm),0,0,False,True,9.99
TimeShift(tm),71,571,False,True,19.99
3D Ultra(tm) Minigolf Adventures,0,0,False,True,9.99
Prototype(tm),79,2122,False,True,19.99
Call of Duty(r): Modern Warfare(r) 2,86,22223,False,True,19.99
Call of Duty(r): Modern Warfare(r) 2,86,22223,False,True,19.99
Postal III,24,1045,False,True,14.99
Dead Mountaineers Hotel,0,0,False,True,9.99
A Stroke of Fate: Operation Valkyrie,0,0,False,True,9.99
PT Boats: Knights of the Sea,0,0,False,True,9.99
PT Boats: South Gambit,0,0,False,True,9.99
Disciples III: Reincarnation,0,480,False,True,9.99
The Club(tm),67,0,False,True,14.99
Empire: Total War(tm),90,11234,False,True,19.99
Beijing 2008(tm) - The Official Video Game of the Olympic Games,0,0,False,True,0.0
Space Siege,60,0,False,True,14.99
Aliens vs. Predator(tm),68,7194,False,True,14.99
TrackMania Nations Forever,0,5077,True,True,0.0
Sherlock Holmes - Nemesis,71,0,False,True,9.99
Dracula Origin,70,109,False,True,9.99
Sherlock Holmes: The Mystery of the Mummy,61,125,True,True,0.0
Sherlock Holmes: The Awakened - Remastered Edition,72,131,False,True,9.99
Sherlock Holmes: The Silver Earring,68,0,False,True,9.99
Sherlock Holmes: The Mystery of the Persian Carpet,0,0,False,True,9.99
Sherlock Holmes versus Jack the Ripper,73,257,False,True,9.99
Shadowgrounds Survivor,79,465,False,True,9.99
Gumboy Tournament,0,519,False,True,2.99
Space Trader: Merchant Marine,0,557,False,True,4.99
Pacific Storm,67,0,False,True,7.99
Pacific Storm Allies,60,0,False,True,7.99
Penguins Arena: Sednas World,0,822,False,True,5.99
Obulis,0,588,False,True,4.99
Larva Mortus,64,619,False,True,4.99
Chains,0,474,False,True,4.99
Nikopol: Secrets of the Immortals,68,236,False,True,4.99
Crash Time 2,0,1810,False,True,9.99
Overlord(tm),81,2050,False,True,4.99
Soldiers: Heroes of World War II,77,166,False,True,4.99
Maelstrom: The Battle for Earth Begins,58,0,False,True,4.99
Hospital Tycoon,51,349,False,True,4.99
Dragon Nest,0,1481,True,True,0.0
LUMINES(tm),74,0,False,True,9.99
LUMINES(tm) Advance Pack,0,0,False,True,7.99
Grand Theft Auto III,93,2768,False,True,9.99
Grand Theft Auto: Vice City,94,4866,False,True,9.99
Grand Theft Auto: San Andreas,93,14209,False,True,14.99
Manhunt,75,555,False,True,9.99
Max Payne,89,2214,False,True,9.99
Max Payne 2: The Fall of Max Payne,86,1404,False,True,9.99
Midnight Club 2,81,384,False,True,9.99
Grand Theft Auto,0,125,True,True,0.0
Grand Theft Auto 2,0,0,True,True,0.0
Bully: Scholarship Edition,72,5797,False,True,14.99
Grand Theft Auto IV,90,36012,False,True,19.99
Grand Theft Auto: Episodes from Liberty City,0,5677,False,True,19.99
Culpa Innata,66,0,False,True,9.99
Sacred Gold,74,951,False,True,9.99
Darkstar One,71,219,False,True,7.99
Jack Keane,69,0,False,True,9.99
FlatOut: Ultimate Carnage,79,1450,False,True,19.99
Jagged Alliance 2 Gold,0,0,False,True,19.99
Jagged Alliance 2 Gold,0,0,False,True,19.99
Exodus from the Earth,0,0,False,True,14.99
Perimeter 2: New Earth,43,0,False,True,14.99
SlamIt Pinball Big Score,0,0,False,True,4.99
Ankh 2: Heart of Osiris,0,0,False,True,4.99
Ankh 3: Battle of the Gods,0,0,False,True,9.99
BC Kings,0,133,False,True,4.99
Port Royale 2,75,179,False,True,4.99
9th Company: Roots Of Terror,0,122,False,True,9.99
PuzzleQuest: Challenge of the Warlords,84,437,False,True,9.99
Prison Tycoon 3(tm): Lockdown,0,0,False,True,9.99
