gameid,gamename,gamehours
522,Dungeons of Dredmor,26
526,Broforce,26
528,Team Fortress Classic,26
529,Vindictus,26
534,The Swapper,26
535,Lara Croft and the Guardian of Light,26
536,Deponia,26
537,Little Inferno,25
540,Mad Max,25
544,Race The Sun,25
545,Remember Me,25
546,Cogs,25
548,Rocksmith 2014,25
551,Verdun,24
552,Tropico 3 - Steam Special Edition,24
554,Test Drive Unlimited 2,24
555,F.E.A.R.,24
555,F.E.A.R.,24
555,F.E.A.R.,24
555,F.E.A.R.,24
555,F.E.A.R.,24
557,Bloodline Champions,24
558,System Shock 2,24
560,Project CARS,24
561,SteamWorld Dig,24
563,DLC Quest,24
564,Lucius,24
565,The Talos Principle,24
566,Dragons and Titans,24
567,Gone Home,24
569,Yet Another Zombie Defense,24
571,DiRT Showdown,23
576,Kingdom Wars,23
578,Ragnarok Online 2,23
581,Stronghold Crusader HD,23
583,Crayon Physics Deluxe,23
586,Echo of Soul,23
587,Creativerse,23
589,Jamestown,22
592,Osmos,22
594,One Finger Death Punch,22
595,Child of Light,22
600,DEFCON,22
601,Warlock - Master of the Arcane,22
604,Relic Hunters Zero,22
605,The Vanishing of Ethan Carter,21
608,Boring Man - Online Tactical Stickman Combat,21
609,THE KING OF FIGHTERS XIII STEAM EDITION,21
610,Hearts of Iron III,21
611,Champions Online,21
612,Car Mechanic Simulator 2014,21
613,MapleStory,21
614,Ricochet,21
615,Worms Armageddon,21
616,Stronghold HD,21
616,Stronghold HD,21
616,Stronghold HD,21
617,Primal Carnage,21
618,Really Big Sky,21
619,METAL SLUG 3,21
621,EVE Online,21
622,Rock of Ages,20
625,Game of Thrones - A Telltale Games Series,20
626,Card Hunter,20
627,The Bridge,20
628,Caster,20
632,Toki Tori,20
636,DOOM 3,20
637,NBA 2K15,20
638,HuniePop,20
640,La Tale,19
644,Cities in Motion 2,19
645,Gratuitous Space Battles,19
646,StarForge,19
647,Strike Suit Zero,19
648,Dead Bits,19
649,Monday Night Combat,19
649,Monday Night Combat,19
654,DiRT 3 Complete Edition,19
655,Two Worlds Epic Edition,19
656,MicroVolts Surge,19
657,You Have to Win the Game,19
658,McPixel,19
660,BeamNG.drive,18
661,Villagers and Heroes,18
663,Teeworlds,18
664,Driver San Francisco,18
665,Resident Evil Revelations / Biohazard Revelations,18
666,DiRT Rally,18
669,Evoland,18
671,Shatter,18
672,Assetto Corsa,18
673,Devil May Cry 4,18
676,3DMark,18
678,Tabletop Simulator,18
684,Knights and Merchants,18
686,Tower Wars,18
687,Supreme Commander,18
689,The Culling Of The Cows,17
695,Magicite,17
698,Panzar,17
699,Shadowgrounds,17
701,Fable Anniversary,17
707,The Testament of Sherlock Holmes,17
708,Penumbra Overture,17
709,Omerta - City of Gangsters,17
711,Costume Quest,17
716,Botanicula,16
717,Shank,16
717,Shank,16
717,Shank,16
722,Magicka 2,16
725,The Evil Within,16
726,Max Payne,16
727,NBA 2K14,16
728,Zeno Clash,16
729,Broken Age,16
733,The Secret World,16
735,Velvet Sundown,16
736,Solar 2,16
737,DCS World,16
739,Copa Petrobras de Marcas,16
740,Crypt of the NecroDancer,16
744,Batla,15
749,NEOTOKYO,15
752,Galactic Civilizations III,15
757,Medieval Engineers,15
759,Mount Your Friends,15
760,And Yet It Moves,15
761,Craft The World,15
763,Painkiller Hell & Damnation,15
765,Stronghold Crusader 2,15
766,Cities XL Platinum,15
767,Revenge of the Titans,15
771,Long Live The Queen,15
772,Tales from the Borderlands,15
773,Floating Point,15
775,Blocks That Matter,15
777,Godus,15
784,The Showdown Effect,14
785,Eldevin,14
786,Fuse,14
787,CastleMiner Z,14
788,Victoria II,14
789,Shovel Knight,14
796,The Incredible Adventures of Van Helsing II,14
797,HOARD,14
798,Uplink,14
800,resident evil 4 / biohazard 4,14
802,Resident Evil Revelations 2 / Biohazard Revelations 2,14
807,World of Soccer online,14
808,King Arthur - The Role-playing Wargame,14
810,Shank 2,14
811,The Cave,14
816,Nation Red,13
817,Serious Sam 2,13
818,Grim Fandango Remastered,13
819,CastleStorm,13
820,Gish,13
821,Grim Dawn,13
822,God Mode,13
826,Grimm,13
829,Polarity,13
830,Endless Sky,13
832,Soldier Front 2,13
834,Tomb Raider I,13
835,Rochard,13
836,SOMA,13
839,Altitude,13
840,The Guild II,13
842,Starpoint Gemini 2,13
844,Stealth Bastard Deluxe,13
846,Woodle Tree Adventures,13
847,A Game of Thrones - Genesis,13
848,FaceRig,13
851,Risen,13
852,Subnautica,13
853,Worms Ultimate Mayhem,13
854,Door Kickers,13
858,Hacker Evolution,13
859,BIT.TRIP BEAT,13
860,Car Mechanic Simulator 2015,13
861,Savage Lands,13
862,Genesis Online,13
863,Bloody Trapland,13
864,Deadpool,13
870,The Plan,13
871,Peggle Deluxe,13
872,Dragon Nest,13
875,Xenonauts,12
876,Darwinia,12
879,Poly Bridge,12
880,Town of Salem,12
882,Greed Corp,12
885,Grey Goo,12
888,Blade Symphony,12
891,NBA 2K16,12
893,Sacred 2 Gold,12
894,Grow Home,12
895,Krater,12
898,Mountain,12
901,Heroes of Might & Magic V,12
902,A Virus Named TOM,12
903,Mortal Online,12
904,Devilian,12
905,Worms Clan Wars,12
906,Just Cause,12
907,Blackguards,12
908,EDGE,12
909,Lethal League,12
912,F1 2013,12
914,Steel Ocean,12
915,Planet Explorers,12
916,SolForge,12
917,Plain Sight,12
920,Soccer Manager 2016,12
921,Soccer Manager 2015,12
922,Canyon Capers,12
923,Squishy the Suicidal Pig,12
924,Stacking,12
926,Geometry Dash,12
927,Ticket to Ride,12
932,Always Sometimes Monsters,12
934,Evil Genius,12
935,The Guild II Renaissance,12
936,Nuclear Dawn,12
937,Need for Speed Undercover,12
941,HIS (Heroes In the Sky),11
942,Cities in Motion,11
944,Gnomoria,11
945,Battle Islands,11
947,Wings of Prey,11
951,Dungeon Siege,11
953,Pinball FX2,11
956,Post Apocalyptic Mayhem,11
959,Anna - Extended Edition,11
961,Viscera Cleanup Detail,11
962,Sakura Spirit,11
965,Minimum,11
968,Proteus,11
970,Demigod,11
972,I am Bread,11
973,Nuclear Throne,11
974,Resident Evil / biohazard HD REMASTER,11
975,Quantum Conundrum,11
976,War for the Overworld,11
980,The Ball,11
981,Return to Castle Wolfenstein,11
982,Port Royale 3,11
985,Dragomon Hunter,11
986,Vessel,11
991,Waking Mars,10
992,Waveform,10
994,Aliens versus Predator Classic 2000,10
998,StarDrive,10
1000,Interstellar Marines,10
1001,Racer 8,10
1003,Intrusion 2,10
1005,Out There Somewhere,10
1006,Before the Echo,10
1007,Rebel Galaxy,10
1009,Capsized,10
1010,Battlestations Pacific,10
1011,Angry Video Game Nerd Adventures,10
1012,Battlepaths,10
1013,ArcaniA,10
1015,Mercenary Kings,10
1016,Revolution Ace,10
1017,X-Blades,10
1019,Chaos on Deponia,10
1020,Strike Vector,10
1021,Rise of the Triad,10
1022,Anarchy Arcade,10
1023,LUFTRAUSERS,10
1025,Robot Roller-Derby Disco Dodgeball,10
1027,Full Mojo Rampage,10
1028,GRAV,10
1029,Legendary,10
1030,Damned,10
1031,Eets Munchies,10
1032,Guardians of Middle-earth,10
1033,They Bleed Pixels,10
1034,Ultimate Tic-Tac-Toe,10
1035,Sang-Froid - Tales of Werewolves,10
1036,Uncrowded,10
1037,NightSky,10
1038,EVGA PrecisionX 16,10
1042,Castle Story,10
1043,Piercing Blow,10
1046,Pinball Arcade,10
1048,Grand Theft Auto,10
1050,Earth 2160,10
1051,Sniper Elite,10
1052,Pool Nation,10
1058,Shoot Many Robots,9
1059,Tap Tap Infinity,9
1060,POSTAL,9
1061,Wild Warfare,9
1063,Memories of a Vagabond,9
1070,Toki Tori 2+,9
1073,Train Fever,9
1075,Hurtworld,9
1076,Shadow Warrior Classic Redux,9
1077,The Book of Unwritten Tales,9
1082,I Am Alive,9
1083,Home,9
1084,Shift 2 Unleashed,9
1087,Renegade Ops,9
1088,Oil Rush,9
1090,SkyDrift,9
1093,Marvel Puzzle Quest,9
1094,METAL SLUG DEFENSE,9
1095,Sparkle 2 Evo,9
1098,Professional Farmer 2014,9
1099,Gang Beasts,9
1100,CroNix,9
1101,Dungeon Defenders Eternity,9
1103,Dead Realm,9
1107,DUNGEONS - Steam Special Edition,9
1109,100% Orange Juice,9
1112,Run and Fire,9
1115,LYNE,9
1116,Scania Truck Driving Simulator,9
1117,RUSH,9
1119,Royal Quest,9
1120,Running Shadow,9
1122,Kingdom Rush,9
1123,NEKOPARA Vol. 1,9
1124,Keep Talking and Nobody Explodes,9
1127,Insanely Twisted Shadow Planet,8
1128,the static speaks my name,8
1129,Cubemen,8
1132,FlatOut,8
1133,Echoes+,8
1135,Narcissu 1st & 2nd,8
1137,Anno Online,8
1138,Red Faction,8
1140,Planetbase,8
1141,RADical ROACH Deluxe Edition,8
1145,Farming Simulator 2011,8
1147,RPG MO,8
1148,Jazzpunk,8
1149,EasyAntiCheat eSports,8
1150,Electronic Super Joy,8
1154,Outland,8
1161,The Four Kings Casino and Slots,8
1162,Unreal Gold,8
1163,Euro Truck Simulator,8
1164,Prime World,8
1169,F1 2014,8
1170,Victim of Xen,8
1171,Space Run,8
1172,Black Mesa,8
1174,BEEP,8
1177,Magic Barrage - Bitferno,8
1178,Papo & Yo,8
1184,Portal 2 - The Final Hours,8
1188,Frozen Hearth,8
1194,Strike Suit Infinity,8
1200,Chip,7
1202,Bound By Flame,7
1204,MX vs. ATV Reflex,7
1206,Might & Magic Heroes Online,7
1208,Metal Reaper Online,7
1209,Chime,7
1213,Blockstorm,7
1214,Quake III Arena,7
1216,Blockland,7
1217,Binary Domain,7
1218,Legend of Grimrock 2,7
1225,Kentucky Route Zero,7
1228,Bridge Project,7
1229,Miasmata,7
1230,Sonic CD,7
1232,Audiosurf 2,7
1235,Smashmuck Champions,7
1236,Golden Rush,7
1238,Urban Trial Freestyle,7
1239,Sine Mora,7
1243,Sigils of Elohim,7
1246,Duck Game,7
1247,Sacred Citadel,7
1249,Shadowgrounds Survivor,7
1253,Gunscape,7
1255,DogFighter,7
1261,Gems of War,7
1262,Spacebase DF-9,7
1266,The Longest Journey,7
1270,The Misadventures of P.B. Winterbottom,7
1272,Tales of Zestiria,7
1273,The Path,7
1274,Take On Helicopters,7
1276,Syberia,7
1278,Eternal Senia,7
1279,Crusaders of the Lost Idols,7
1281,Apotheon Arena,7
1282,Aquaria,7
1283,Empyrion - Galactic Survival,7
1286,Front Mission Evolved,7
1289,TowerFall Ascension,7
1290,Toy Soldiers,7
1293,Goodbye Deponia,7
1293,Goodbye Deponia,7
1294,12 Labours of Hercules,7
1295,Closure,7
1296,X Rebirth,7
1297,Ys Origin,7
1298,Dead Pixels,7
1300,Dead Effect,7
1301,Hammerfight,7
1303,A Bird Story,7
1304,Rustbucket Rumble,7
1305,Hatoful Boyfriend,7
1306,Receiver,7
1308,404Sight,7
1309,Hatred,7
1310,Bridge Constructor,6
1314,Edge of Space,6
1316,Legend of Dungeon,6
1317,Stonehearth,6
1319,Frontline Tactics,6
1320,Freedom Force,6
1321,Never Alone (Kisima Ingitchuna),6
1322,Confrontation,6
1323,Towns,6
1325,Particula,6
1328,LISA,6
1329,Gemini Rue,6
1330,Speedball 2 HD,6
1338,Eador. Masters of the Broken World,6
1341,Deepworld,6
1342,Sacred 3,6
1344,Reassembly,6
1345,All Is Dust,6
1348,Rampage Knights,6
1350,Infested Planet,6
1351,Boson X,6
1352,Fairy Bloom Freesia,6
1353,Among the Sleep,6
1354,Betrayer,6
1355,The Jackbox Party Pack,6
1356,Offworld Trading Company,6
1357,F1 2015,6
1358,Of Orcs And Men,6
1359,Lunar Flight,6
1360,FINAL FANTASY III,6
1363,The Baconing,6
1364,TerraTech,6
1368,Mini Metro,6
1369,Overcast - Walden and the Werewolf,6
1370,Swords and Soldiers HD,6
1372,Cortex Command,6
1378,The Tiny Bang Story,6
1379,Final DOOM,6
1380,Iron Brigade,6
1381,Fate of the World,6
1382,Space Hulk,6
1383,Gas Guzzlers Extreme,6
1384,Get Off My Lawn!,6
1386,Multiwinia,6
1388,Bionic Dues,6
1390,Grand Theft Auto 2,6
1391,Bus Driver,6
1392,Wizorb,6
1393,Gravilon,6
1394,Viridi,6
1395,Chains,6
1396,Mechanic Escape,6
1397,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,6
1398,NEKOPARA Vol. 0,6
1399,KickBeat Steam Edition,6
1401,A Valley Without Wind,6
1404,Windward,6
1406,Windosill,6
1408,NBA 2K13,6
1410,Knights of Honor,6
1412,Serena,6
1413,Adventures of Shuggy,6
1414,Warside,6
1415,Saira,6
1416,Dungeons 2,6
1417,Silent Hill Homecoming,6
1418,Rise of Venice,6
1420,Blades of Time,6
1422,Skyborn,6
1423,Sonic Adventure DX,6
1425,Road Redemption,6
1428,Blood Bowl 2,6
1430,Sinister City,6
1434,Rise of Flight United,6
1435,Sacred Gold,6
1436,Divekick,6
1438,Why So Evil,5
1440,Evochron Mercenary,5
1442,Alien Rage - Unlimited,5
1443,Mabinogi,5
1447,Distance,5
1448,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),5
1449,NotGTAV,5
1450,AaAaAA!!! - A Reckless Disregard for Gravity,5
1452,The Maw,5
1456,F1 2011,5
1457,Murder Miners,5
1458,The Settlers Online,5
1459,140,5
1465,99 Levels To Hell,5
1469,Majesty 2,5
1471,Majesty 2 Collection,5
1473,March of the Eagles,5
1476,Dwarfs!?,5
1477,60 Seconds!,5
1478,Zombie Army Trilogy,5
1479,DETOUR,5
1482,WWE 2K15,5
1484,Abyss Odyssey,5
1485,ibb & obb,5
1487,The Wonderful End of the World,5
1488,Epigenesis,5
1489,Thirty Flights of Loving,5
1490,AirBuccaneers,5
1492,Enemy Front,5
1493,Airline Tycoon 2,5
1494,Dreamfall Chapters,5
1496,Missing Translation,5
1498,The Forgotten Ones,5
1502,Arma Tactics,5
1504,Hero Academy,5
1505,Sheltered,5
1507,Steam Marines,5
1508,Heroes of Scene,5
1510,Shelter,5
1511,StarMade,5
1512,Freedom Planet,5
1520,Landmark,5
1524,GooCubelets,5
1526,Go! Go! Nippon! ~My First Trip to Japan~,5
1527,Snuggle Truck,5
1528,Software Inc.,5
1533,Passing Pineview Forest,5
1534,Peggle Extreme,5
1535,Spirits,5
1536,Arx Fatalis,5
1538,La-Mulana,5
1538,La-Mulana,5
1539,Shoppe Keep,5
1540,Her Story,5
1541,Audition Online,5
1542,Color Symphony,5
1546,Savant - Ascent,5
1548,The Basement Collection,5
1549,Sengoku,5
1552,One Way Heroics,5
1553,HIT,5
1554,Screencheat,5
1557,Faerie Solitaire,5
1563,Railroad Tycoon 3,5
1564,Apotheon,5
1565,KnightShift,5
1566,Jagged Alliance - Back in Action,5
1567,Shadow Warrior Classic (1997),5
1570,Hospital Tycoon,5
1573,Overgrowth,5
1574,Guncraft,5
1575,Jet Gunner,5
1576,Little Racers STREET,5
1577,Anomaly 2,5
1578,Satellite Reign,5
1579,QuestRun,5
1580,Bleed,5
1582,Fight The Dragon,5
1583,Puzzle Agent,5
1588,MASSIVE CHALICE,4
1591,Dead Horde,4
1592,Impire,4
1593,Imperium Romanum Gold Edition,4
1599,DeathSpank,4
1599,DeathSpank,4
1599,DeathSpank,4
1606,Depression Quest,4
1607,Cities XXL,4
1608,Despair,4
1609,Horizon,4
1612,Destination Sol,4
1613,Holy Potatoes! A Weapon Shop?!,4
1614,Hacknet,4
1618,Kenshi,4
1623,Epic Battle Fantasy 4,4
1624,Folk Tale,4
1625,Flight Control HD,4
1630,Fingered,4
1632,Final Exam,4
1634,Fearless Fantasy,4
1635,Enemy Mind,4
1638,Fallen Enchantress,4
1640,Fairy Fencer F,4
